iter	Passed	Remaining
0	5	5709
1	11	5819
2	18	6103
3	25	6359
4	31	6237
5	37	6149
6	42	6052
7	49	6117
8	56	6191
9	62	6218
10	69	6232
11	76	6314
12	84	6432
13	91	6474
14	98	6491
15	105	6508
16	111	6457
17	117	6420
18	123	6363
19	130	6372
20	136	6375
21	143	6388
22	150	6392
23	156	6377
24	162	6350
25	168	6314
26	174	6277
27	180	6265
28	186	6247
29	192	6231
30	199	6231
31	205	6201
32	211	6189
33	216	6154
34	222	6122
35	228	6122
36	234	6099
37	240	6079
38	247	6086
39	253	6093
40	261	6119
41	268	6121
42	275	6129
43	280	6100
44	286	6084
45	294	6100
46	299	6082
47	307	6091
48	313	6093
49	319	6078
50	327	6086
51	333	6081
52	339	6061
53	346	6066
54	352	6057
55	359	6063
56	365	6045
57	372	6050
58	379	6057
59	385	6047
60	394	6079
61	402	6082
62	409	6094
63	415	6074
64	421	6064
65	427	6052
66	433	6036
67	440	6037
68	446	6018
69	451	6002
70	457	5984
71	464	5982
72	471	5985
73	477	5969
74	482	5956
75	489	5945
76	494	5929
77	500	5915
78	506	5909
79	513	5902
80	519	5898
81	525	5881
82	530	5864
83	536	5853
84	542	5836
85	548	5826
86	554	5822
87	561	5818
88	568	5814
89	573	5799
90	579	5785
91	585	5778
92	590	5763
93	597	5755
94	603	5751
95	609	5741
96	616	5736
97	621	5723
98	628	5720
99	635	5717
100	642	5717
101	649	5718
102	655	5708
103	661	5699
104	667	5687
105	673	5676
106	678	5666
107	685	5658
108	691	5653
109	698	5648
110	703	5636
111	709	5626
112	716	5624
113	722	5612
114	728	5606
115	734	5598
116	743	5614
117	756	5656
118	767	5684
119	777	5703
120	784	5696
121	789	5684
122	798	5691
123	803	5679
124	811	5679
125	818	5675
126	826	5682
127	834	5682
128	841	5683
129	849	5684
130	857	5686
131	864	5684
132	872	5687
133	879	5685
134	888	5694
135	895	5691
136	903	5692
137	914	5712
138	922	5714
139	933	5736
140	943	5747
141	950	5741
142	959	5748
143	965	5742
144	973	5741
145	981	5741
146	988	5736
147	996	5735
148	1004	5739
149	1012	5737
150	1021	5745
151	1032	5760
152	1042	5772
153	1053	5785
154	1062	5794
155	1072	5804
156	1082	5809
157	1090	5812
158	1098	5810
159	1105	5805
160	1113	5801
161	1121	5803
162	1129	5800
163	1137	5800
164	1179	5971
165	1199	6025
166	1226	6120
167	1249	6187
168	1258	6185
169	1280	6250
170	1286	6235
171	1291	6218
172	1298	6207
173	1305	6195
174	1311	6181
175	1317	6169
176	1323	6153
177	1330	6142
178	1337	6135
179	1343	6122
180	1349	6108
181	1355	6093
182	1362	6082
183	1368	6069
184	1374	6056
185	1381	6046
186	1387	6030
187	1396	6031
188	1403	6023
189	1409	6008
190	1415	5993
191	1421	5981
192	1430	5980
193	1436	5967
194	1442	5953
195	1449	5944
196	1457	5939
197	1468	5949
198	1488	5992
199	1498	5993
200	1509	5998
201	1516	5992
202	1524	5986
203	1531	5976
204	1539	5968
205	1547	5963
206	1553	5950
207	1561	5943
208	1566	5930
209	1574	5924
210	1580	5910
211	1586	5897
212	1594	5892
213	1601	5883
214	1610	5879
215	1616	5866
216	1626	5867
217	1633	5861
218	1642	5856
219	1648	5844
220	1656	5839
221	1662	5827
222	1670	5819
223	1676	5809
224	1683	5799
225	1690	5788
226	1696	5775
227	1704	5769
228	1711	5762
229	1719	5755
230	1725	5743
231	1731	5732
232	1738	5723
233	1744	5711
234	1751	5703
235	1758	5691
236	1765	5682
237	1771	5671
238	1777	5659
239	1784	5650
240	1790	5639
241	1796	5628
242	1802	5616
243	1809	5605
244	1817	5599
245	1825	5593
246	1834	5591
247	1841	5583
248	1849	5578
249	1856	5569
250	1864	5564
251	1871	5555
252	1879	5547
253	1886	5539
254	1893	5531
255	1900	5523
256	1906	5513
257	1914	5504
258	1920	5493
259	1926	5483
260	1933	5473
261	1939	5462
262	1946	5454
263	1952	5443
264	1959	5433
265	1965	5423
266	1971	5412
267	1978	5404
268	1985	5394
269	1991	5383
270	1997	5373
271	2003	5362
272	2010	5354
273	2018	5347
274	2026	5341
275	2032	5332
276	2038	5321
277	2045	5313
278	2050	5299
279	2057	5290
280	2063	5279
281	2069	5269
282	2076	5260
283	2082	5249
284	2088	5240
285	2094	5230
286	2101	5219
287	2108	5212
288	2115	5204
289	2123	5198
290	2129	5188
291	2136	5179
292	2143	5171
293	2149	5161
294	2156	5153
295	2162	5143
296	2169	5134
297	2176	5126
298	2182	5116
299	2189	5108
300	2195	5098
301	2202	5089
302	2207	5079
303	2214	5069
304	2222	5064
305	2230	5057
306	2238	5053
307	2245	5044
308	2253	5038
309	2260	5030
310	2267	5022
311	2273	5014
312	2280	5005
313	2287	4997
314	2293	4987
315	2299	4978
316	2306	4970
317	2312	4960
318	2320	4952
319	2326	4942
320	2333	4936
321	2339	4926
322	2345	4916
323	2351	4905
324	2356	4893
325	2361	4882
326	2368	4874
327	2374	4864
328	2382	4859
329	2388	4849
330	2397	4844
331	2415	4860
332	2434	4875
333	2451	4888
334	2467	4898
335	2476	4893
336	2483	4885
337	2488	4874
338	2494	4863
339	2499	4852
340	2505	4842
341	2511	4832
342	2516	4820
343	2522	4810
